,Network,Date,Time,Program,Length,Rating,Minute_In_Commercial,Total_Loss_perc
62,DKN,9/28/15,10:02 PM,BLINDSPOT,60,2.984924438,0,7.100924554
63,DKN,9/28/15,10:03 PM,BLINDSPOT,60,2.901603134,0,5.157058154
64,DKN,9/28/15,10:04 PM,BLINDSPOT,60,2.812868958,0,3.256827041
65,DKN,9/28/15,10:05 PM,BLINDSPOT,60,2.809681041,0,1.962168142
66,DKN,9/28/15,10:06 PM,BLINDSPOT,60,2.808656518,0,2.002290399
67,DKN,9/28/15,10:07 PM,BLINDSPOT,60,2.80388985,0,1.861083769
68,DKN,9/28/15,10:08 PM,BLINDSPOT,60,2.824091948,0,2.103085776
69,DKN,9/28/15,10:09 PM,BLINDSPOT,60,2.814791708,0,4.580171725
70,DKN,9/28/15,10:10 PM,BLINDSPOT,60,2.74817575,0,2.980449972
71,DKN,9/28/15,10:11 PM,BLINDSPOT,60,2.702450737,0,2.420595212
72,DKN,9/28/15,10:12 PM,BLINDSPOT,60,2.67790865,0,2.446231542
73,DKN,9/28/15,10:13 PM,BLINDSPOT,60,2.655464018,0,2.30083486
74,DKN,9/28/15,10:14 PM,BLINDSPOT,60,2.646179618,0,1.486860167
75,DKN,9/28/15,10:15 PM,BLINDSPOT,60,2.661260232,0,3.159553803
76,DKN,9/28/15,10:16 PM,BLINDSPOT,60,2.608915542,0,1.467952127
77,DKN,9/28/15,10:17 PM,BLINDSPOT,60,2.587622482,0,2.198578201
78,DKN,9/28/15,10:18 PM,BLINDSPOT,60,2.556787355,0,2.823215121
79,DKN,9/28/15,10:19 PM,BLINDSPOT,60,2.518115682,0,2.273492012
80,DKN,9/28/15,10:20 PM,BLINDSPOT,60,2.48868572,1,8.740287039
81,DKN,9/28/15,10:21 PM,BLINDSPOT,60,2.325966176,1,4.350693681
82,DKN,9/28/15,10:22 PM,BLINDSPOT,60,2.285607867,1,2.718271273
83,DKN,9/28/15,10:23 PM,BLINDSPOT,60,2.29431053,1,1.745620032
84,DKN,9/28/15,10:24 PM,BLINDSPOT,60,2.325148835,0,1.596166349
85,DKN,9/28/15,10:25 PM,BLINDSPOT,60,2.411981878,0,1.318657724
86,DKN,9/28/15,10:26 PM,BLINDSPOT,60,2.450328298,0,1.539350467
87,DKN,9/28/15,10:27 PM,BLINDSPOT,60,2.437868154,0,1.397446785
88,DKN,9/28/15,10:28 PM,BLINDSPOT,60,2.463635711,0,5.065102994
89,DKN,9/28/15,10:29 PM,BLINDSPOT,60,2.348595896,1,8.389790064
90,DKN,9/28/15,10:30 PM,BLINDSPOT,60,2.18737453,1,2.113436464
91,DKN,9/28/15,10:31 PM,BLINDSPOT,60,2.222368182,0,2.692971703
